job,website,company,salary
"unity开发学徒&nbsp;<a href=""http://e.zhaopin.com/products/1/detail.do"" target=""_blank"" title=""点击“顶”字，了解更多""><img src=""/assets/images/top.png"" border=""0""   align=""absmiddle"">&nbsp;<img src=""/assets/images/jp.gif"" border=""0"" align=""absmiddle"">",http://company.zhaopin.com/CZ608979220.htm,深圳美日中贸易有限公司,8001-10000
python-web开发,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%8D%8E%E5%82%B2%E6%95%B0%E6%8D%AE%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC353072427.htm,深圳市华傲数据技术有限公司,10000-18000
python软件开发工程师,http://company.zhaopin.com/CC211730510.htm,深圳市有限元科技有限公司,8000-16000
Python开发工程师,http://company.zhaopin.com/CC630615822.htm,深圳市华创科新科技有限公司,10001-15000
Python开发助理,http://company.zhaopin.com/CC515357132.htm,广州海度网络科技有限公司,4001-6000
后台开发工程师（python ）,http://company.zhaopin.com/%E5%8D%8E%E6%B6%A6%E7%BD%AE%E5%9C%B0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC358101529.htm,华润置地有限公司,10000-20000
python开发工程师（深圳）,http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,10001-15000
Python开发工程师（深圳）,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,10001-15000
自动化测试（Python）见习助理,http://company.zhaopin.com/CZ542450430.htm,深圳一朵云信息技术有限公司,2001-4000
python开发工程师,http://company.zhaopin.com/CC264636718.htm,500.com集团,10000-20000
C++/Python高级工程师,http://special.zhaopin.com/sz/2014/11026/gkjk011326,深圳市共济科技有限公司,20001-30000
高级研发工程师（Python方向）,http://company.zhaopin.com/%E4%BC%98%E8%B4%AD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC420891816.htm,优购科技有限公司,15000-25000
Python算法工程师助理包住,http://company.zhaopin.com/CC431607237.htm,深圳尚睿达信息技术有限公司,8001-10000
python开发工程师,http://company.zhaopin.com/CZ722312840.htm,深圳睿云智合科技有限公司,15000-30000
运营开发工程师（Python）,http://company.zhaopin.com/CZ447244520.htm,深圳市富途网络科技有限公司,15000-30000
python课程设计师,http://company.zhaopin.com/CC703291527.htm,深圳市编玩边学教育科技有限公司,10000-12000
Python开发工程师（深圳）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,8000-15000
python课程设计师/课程编辑/课程研发,http://company.zhaopin.com/CC703291527.htm,深圳市编玩边学教育科技有限公司,7000-12000
python编程教师,http://company.zhaopin.com/CC703291527.htm,深圳市编玩边学教育科技有限公司,12000-18000
Python后台架构师,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,10001-15000
Python高级工程师,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,10001-15000
Python游戏服务端工程师,http://company.zhaopin.com/CC604701727.htm,在线途游(北京)科技有限公司,15000-25000
高级Python工程师,http://company.zhaopin.com/CC620797421.htm,北京火币天下网络技术有限公司,25000-30000
Python 工程师,http://company.zhaopin.com/P8/CC1393/2027/CC139320276.htm,深圳市杰恩创意设计股份有限公司,10000-15000
python开发工程师,http://company.zhaopin.com/CZ605988220.htm,深圳趣凡网络科技有限公司,10001-15000
C++/Python/QT软件工程师,http://company.zhaopin.com/CZ896041960.htm,思力科(深圳)电子科技有限公司,12000-24000
Python 工程师,http://company.zhaopin.com/CZ256911880.htm,深圳前海壹互联科技投资有限公司,10000-20000
"大数据开发工程师（spark,python）",http://company.zhaopin.com/CZ256911880.htm,深圳前海壹互联科技投资有限公司,15001-20000
Python开发工程师（服务器）,http://company.zhaopin.com/CC253085637.htm,深圳英宝通广告有限公司,15000-30000
高级python,http://company.zhaopin.com/CZ413479080.htm,深圳德聚企业管理咨询有限公司,20000-40000
风控开发（Python）,http://company.zhaopin.com/CZ134415620.htm,深圳市盖威科技有限公司,20001-30000
风控后台开发（Python）,http://company.zhaopin.com/CZ134415620.htm,深圳市盖威科技有限公司,20001-30000
Python自动化测试,http://special.zhaopin.com/pagepublish/60722312/index.html,深圳市川石信息技术有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/CC298519281.htm,深圳市瑞驰信息技术有限公司,6000-12000
Python高级工程师 （后台开发）,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,15000-25000
Python后台架构师 （后台开发）,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,15000-25000
数据运营分析师,http://company.zhaopin.com/CZ562598930.htm,深圳呱呱商务咨询服务有限公司,7500-15000
Paas平台开发运维工程师,http://company.zhaopin.com/CC289875931.htm,怡和祥云(北京)科技有限公司,15001-20000
人工智能（AI）专家,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BF%A1%E8%80%8C%E5%AF%8C%E4%BC%81%E4%B8%9A%E7%AE%A1%E7%90%86%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC145796638.htm,上海信而富企业管理有限公司,35000-70000
软件工程师,http://company.zhaopin.com/P5/CC0006/0124/CC000601245.htm,上海宝信软件股份有限公司深圳分公司,6000-10000
Java技术经理/架构师-363105,http://company.zhaopin.com/CZ606146420.htm,赛恩倍吉科技顾问(深圳)有限公司,15000-25000
C++开发工程师（社保+双休）,http://company.zhaopin.com/CC265748338.htm,深圳市尊视激光科技有限公司,8001-10000
测试工程师,http://company.zhaopin.com/CC600605824.htm,深圳派鲜科技有限公司,6000-8000
嵌入式系统测试工程师,http://company.zhaopin.com/P7/CC1439/2946/CC143929465.htm,广州视源电子科技股份有限公司,9000-15000
NLP（自然语言处理工程师）,http://company.zhaopin.com/CC216494030.htm,顺丰科技有限公司,面议
测试工程师,http://special.zhaopin.com/2017/gz/11242/whtz021321,PPmoney万惠集团,10000-20000
机器学习工程师/数据挖掘,http://special.zhaopin.com/sh/2014/11109/ztxjr052834,中腾信金融信息服务(上海)有限公司,14000-28000
语音识别工程师,http://company.zhaopin.com/CZ281374080.htm,深圳双猴科技有限公司,20001-30000
小程序前端开发工程师,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%A4%A9%E7%8E%96%E9%9A%86%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC264886718.htm,深圳市天玖隆科技有限公司,8001-10000
